0,1,2,3,4,5,6,7,8
최은진,942,이*경,23.09.22,38,[2023학년도 고2 9월 학력평가 해설] 수학,감사합니다...,"좋은 강의 찍어주셔서...
감사합니다...
도움이 많이 되었어요..",스페셜
최은진,942,나*진,23.09.06,38,[2023학년도 고2 9월 학력평가 해설] 수학,빨라서 굿굿!!,바로 올라와서 좋아요!  감사합니다!!,5점
최은진,942,김*재,23.07.12,173,[2023학년도 고3 7월 학력평가 해설] 수학,드디어..,"미적분 남치열쌤 해설 ㅠㅠㅠㅠ
그리고 인생 첫 2등급 뜨게 생겼네요 굿굿",5점
최은진,942,김*욱,23.10.31,26,"[2024 수능완성] 최은진, 안국선의 수학+기하(실전편)",최은진 쌤 폼 미쳤다,"타 싸이트 1타 강사들 인강 들었을땐 지루해서 듣기 힘들었는데
최은진쌤 실전 모고 1회 공통 듣고 너무 쉽게 이해했습니다.. 리스펙 합니다 
EBS에서 있기 아까운 강의력이였어요.. ㅜ",5점
최은진,942,문*찬,23.09.28,61,"[2024 수능완성] 최은진, 안국선의 수학+기하(실전편)",써본적 진짜 없는데,안국선 선생님 정말 잘가르치신다.. ㄷㄷ,5점
최은진,942,김*재,23.08.18,45,"[2024 수능완성] 최은진, 안국선의 수학+기하(실전편)",수능완성,감사드립니다 ~,스페셜
최은진,942,이*희,23.07.04,57,"[2024 수능완성] 최은진, 안국선의 수학+기하(실전편)",감사합니다,수능완성 강의 감사합니다,스페셜
최은진,942,남*,23.06.28,72,"[2024 수능완성] 최은진, 안국선의 수학+기하(실전편)",벡터문제 질문이요 히히,"안녕하세여  선생님


ebs에는요

어떤 벡터를  합벡터로 표현하기 문제가 굉장히 많자나요?


A 벡터를  MB + NC    벡터로 표현해서


M N 값 구하는거요



그런데

저는 평가원  기하  기출 전부 갖고잇는데요

합벡터로 표현하기 문제가

단 1문제도 없더라구요,,

전부  그 역과정인 합벡터를  어떤 한 벡터로 나타내기 문제뿐이던데




결론은

합벡터로 표현하기  왜 안낸다고 생각하시나여

합벡터로 표현하기 문제가 더 어려운데",5점
최은진,942,김*정,23.06.01,74,"[2024 수능완성] 최은진, 안국선의 수학+기하(실전편)",첫글,첫글입니다,5점
최은진,942,이*영,23.07.30,100,"[2024 수능완성] 최은진, 안국선의 수학+미적분(실전편)",실모 해설 도움 많이 받았어요,"덕분에 수능완성 실모까지 잘 끝냈습니다 감사해요 선생님들

p.s.
1. 안국선쌤 실모 3회 29번 루트 귀여우셨습니다ㅋ
2. 실모 4회 14번 제가 쪼끔 잘 푼 것 같아서(답지, 강의 풀이랑 달라요!) 도움 되는 사람 있을 것 같아서 풀이 올려 봅니다😅 저도 누군가로부터 도움을 받았기 때문에.. ",5점
최은진,942,강*성,23.07.13,88,"[2024 수능완성] 최은진, 안국선의 수학+미적분(실전편)",7월 모의고사,"4주특강, 수능완성 모의고사로 이제 연습을 많이 했는데 22,30의 벽은 높디 높군요

앞에 공통 부분이 그렇게 쉽지만은 않았던것 같아요 

13,15,22,30 틀려서 84 나왔습니다 22,30은 그렇다 치는데 13번 같은 사인 코사인 법칙 쓰는게 실전에서 엄청 안보이더라구요 되게 쉬운건데….뻔하고 ㅋㅋㅋㅋ

미적분 27,28 도형문제는 쉽게 나온것 같습니당",5점
최은진,942,이*희,23.07.10,61,"[2024 수능완성] 최은진, 안국선의 수학+미적분(실전편)",감사합니다,좋은 강의 감사합니다,스페셜
최은진,942,강*성,23.06.26,88,"[2024 수능완성] 최은진, 안국선의 수학+미적분(실전편)",<수능완성을 향한 발걸음 제 마지막 한보(步)!>,"실전모의고사 5회분 마지막! 공통은 많이 어려웠는데 미적분은 쉬운편으로 나온것같습니닷

10,11,12번이 준킬러 급으로 나온것같아욧

15번은...틀렸습니다 벽느꼇네여 ㅋㅋㅋ


21,22 번도 못풀었습니다 집합이랑 아직좀 약한 부분이 있네여

미적분에 한 30분 투자해서 미적분은 8문제 다 맞췃습니다 28번은 작년 6월 모의평가 변형한거여서 쉽게 됬고 30번 개형 잘 찾아내면 되고 부분적분만 잘해주면 그다지 어렵다는 느낌은 못받았습니ㅏㄷ

그대신 공통서 많이 나가가지고...  12,14,15,21,22 80입니당 수고하셧어욧!!!!!!!!",5점
